,Country,Company,200-2025,2025-2030
,USA ,Ford,"a. 10-25% of Ford Vehicles would be NEVs in Global Sales
b. Launch 13 NEV models in 2020
c. NEVs would make up 70% of Ford sales in China before 2025",n/a
,,General Motor,"a. 150,000 NEV sales in China
b. Launch 10 NEV models in 2020 and another 20 models in 2023
c. Continue developing BEV technolgies","500,000 NEV sales in China"
,,Tesla,"a. 500,000 global sales in 2020
b. Invest in smart and shared transportation
c. Further developing high-end sedans and SUVs",Launch heavy trucks and other densely-populated transportation vehicles
,Japan,Toyota,"a. 1.5 million HEV global sales and 30,000 FCVs by 2020
b. Continue pushing for PHEV production and research ","Make HEV & PHEV make up 70% of sales. FCV and 
BEV make up the remaining 30%"
,,Honda,Collaborate with GM on FCVs and make FCVs to the market,"HEV, BEV and FCVs make up 2/3 of the sales by 2030"
,,Nissan,"BEVs sales goals:
a. Japan and Europe 40% by 2022, 50% by 2025
b. 20-30% in the U.S. and 35-40% in China
c. Launch 8 BEV models 
d. Infiniti would make up 50% of its total BEV sales by 2025",n/a
,Germany,BMW,"a. Launch 25 NEV models before 2025
b. NEV sales would make up 15-25% of global sales by 2025",n/a
,,Volkswagen,"a. BEV reach 2-3 million global sales making up 20-25% of its total sales
b. Lauch 25 new BEV models and planning to sell 400K NEVs in 2020, 1.5M by 2025",Provide NEV options for all models for consumers
,,Mercedes Benz,"a. BEV make up 15-25% of global sales by 2025
b. Invest 10 billion Euros in NEV R&D
c. Launch cumulative 50 NEV models by 2020,in which 10 are BEVs
d. Provide NEV options for all models by 2022",n/a
,China,SGMW,"a. The only company in China that covered PHEV, BEV, and FCV
b. Plan to sell 600K NEVs by 2020, in which 20K are independent brands",n/a
,,BAIC,"a. Plan to sell 500K vehicles and established 800K production capabilities
b. Lauch 18 different BEV models
c. Make all models BEV and stop selling ICEVs by 2025",n/a
,,BYD ,"a. Continue cooperating with overseas partners for R&D in battery research
b. Further on the BEV and PHEV strategies and lauch new modesl every year",n/a
